#haḷagannaḍa pada sampada, a dictionary of Old Kannada. Data as scraped from Bharatavani.in

ಅ(ಬ್ಬಾ)ಬ್ಬೆ ,(ಅಂಬಾ) ತಾಯಿ
ಅಗೇಂದ್ರ ,"ಬೆಟ್ಟಗಳ ರಾಜ, ಹಿಮವತ್ಪರ್ವತ"
ಅಂಗೋದ್ಭೂತ ,ಮನ್ಮಥ
ಅಗೌಕಸ ,"ಮರವೇ ಮನೆಯಾಗಿ ಉಳ್ಳದ್ದು, ಕೋತಿ"
ಅಗ್ಗ ,ಶ್ರೇಷ್ಠ; ಕಸುವು; ತುದಿ
ಅಗ್ಗ(ಗು)ೞಿ ,"ತಡೆಗೂಟ, ಲಾಳವಿಂಡಿಗೆ"
ಅಗ್ಗ(ಗ್ಗಾ)ಯಿಲೆ ,ಹೆಚ್ಚು ಹಣ ತೆಗೆದುಕೊಳ್ಳುವ ಸೂಳೆ
ಅಗ್ಗಂಬೆಱು ,ಶ್ರೇಷ್ಠವಾಗು
ಅಗ್ಗಂಮಾಡು ,ದೊಡ್ಡದು ಮಾಡು
ಅಗ್ಗರಣೆ ,ಒಗ್ಗರಣೆ; ಹಗ್ಗ
ಅಗ್ಗರಿಸು ,ಸಿದ್ಧವಾಗು
ಅಗ್ಗಲಂ ,ಹೆಚ್ಚಾಗಿ
ಅಗ್ಗಲಿ(ಳಿ)ಸು ,ಹೆಚ್ಚಿಸು; ಹೆಚ್ಚಾಗು; ಪ್ರಬಲವಾಗು; ಸಂತಸಪಡು; ವ್ಯಾಪಿಸು; ಒದಗು; ಅತಿಕ್ರಮಿಸು
ಅಗ್ಗವಣಿ ,ಮೀಸಲು ನೀರು
ಅಗ್ಗವಳ ,ಒಬ್ಬ ಅಧಿಕಾರಿ
ಅಗ್ಗವಳೆದೆಣ್ಣೆ ,ಕಾದ ಎಣ್ಣೆ
ಅಗ್ಗಳ ,ಶ್ರೇಷ್ಠ
ಅಗ್ಗಳಗಣ್ ,ಹೆಚ್ಚಾದ (ಮೂರನೆಯ) ಕಣ್ಣು; ವಿಶೇಷ ದೃಷ್ಟಿ
ಅಗ್ಗಳಗಣ್ಣ ,"ಅಗ್ಗಳಗಣ್ಣುಳ್ಳವನು, ಶಿವ"
ಅಗ್ಗಳವಸ್ತು ,ಶ್ರೇಷ್ಠ ವಸ್ತು
ಅಗ್ಗಳಿ(ಕೆ)ಕ್ಕೆ ,ಅತಿಶಯತೆ; ಮಹಿಮೆ
ಅಗ್ಗಳಿಕೆವಡೆ ,ಅತಿಶಯಗೊಳ್ಳು
ಅಗ್ಗಳಿಸು ,ಹೆಚ್ಚಾಗು
ಅಗ್ಗೞಿ ,ಅತಿಶಯ
ಅಗ್ಗೞಿಕೆ ,ಅಗ್ಗೞಿ
ಅಗ್ಗಾಯಿಲೆ(ತಿ) ,ಹೆಚ್ಚು ಹಣ ತೆಗೆದುಕೊಳ್ಳುವ ಸೂಳೆ
ಅಗ್ಗಿ ,(ಅಗ್ನಿ) ಬೆಂಕಿ
ಅಗ್ಗಿಕೊಂಡ ,ಕೆಂಡದ ಗುಂಡಿ
ಅಗ್ಗಿಗಣ್ಣು ,ಉರಿಗಣ್ಣು
ಅಗ್ಗಿಮೊಗ ,(ಅಗ್ನಿಮುಖ) ದೇವತೆ
ಅಗ್ಗಿವೆಗಡು ,ಬೆಂಕಿಯ ಭಯ
ಅಗ್ಗಿಸು ,ನಾಶಪಡಿಸು
ಅಗ್ಗು ,ನಾಶವಾಗು
ಅಗ್ನಿಜೆ ,"ಬೆಂಕಿಯ ಮಗಳು, ದ್ರೌಪದಿ"
ಅಗ್ನಿನೇತ್ರ ,ಈಶ್ವರ
ಅಗ್ನಿಪುತ್ರಿ ,"ಬೆಂಕಿಯ ಮಗಳು, ದ್ರೌಪದಿ"
ಅಗ್ನಿಮಂಥ ,ಆರಣಿಯನ್ನುಜ್ಜಿ ಬೆಂಕಿ ಮಾಡುವುದು
ಅಗ್ನಿಮಿತ್ರ ,ಗಾಳಿ
ಅಗ್ನಿವೀರ್ಯ ,ಈಶ್ವರ
ಅಗ್ನಿಶೌಚವಸ್ತ್ರ ,ಉಬ್ಬೆಗೆ ಹಾಕಿ ಶುಚಿಮಾಡಿದ ಬಟ್ಟೆ
ಅಗ್ನಿಸಾಕ್ಷಿ ,ಅಗ್ನಿಯನ್ನು ಸಾಕ್ಷಿಯಾಗಿರಿಸಿಕೊಳ್ಳುವುದು
ಅಗ್ನಿಸ್ತಂಭಿನಿ ,ಅಗ್ನಿಸ್ತಂಭ
ಅಗ್ನಿಸ್ಥಂಭ ,"ಬೆಂಕಿಯು ಸುಡದಂತೆ ಮಾಡುವ ವಿದ್ಯೆ, ಮಂತ್ರ"
ಅಗ್ನೀಧ್ರ ,"ಯಜ್ಞಾಗ್ನಿಯನ್ನು ಪ್ರಜ್ವಲನ ಮಾಡುವವನು; ಬ್ರಹ್ಮ ಎಂಬ ಋತ್ವಿಕ್ಕು, ಯಜ್ಞಕಾರ್ಯ"
ಅಗ್ರ ,ಮುಖ್ಯವಾದ; ಅಧಿಕವಾದ; ಮುಂಭಾ; ತುದಿ; ಆರಂಭ
ಅಗ್ರಕಾರ್ಯ ,ಮೊದಲ ಕೆಲಸ; ಮುಖ್ಯ ಕೆಲಸ
ಅಗ್ರಜನ್ಮ ,ಬ್ರಾಹ್ಮಣ
ಅಗ್ರಣಿ ,ಮುಂದಾಳು
ಅಗ್ರಪದಾತಿ ,ಮುಂಗಡೆಯ ಕಾಲಾಳುಪಡೆ
ಅಗ್ರಪುತ್ರ ,ಹಿರಿಯ ಮಗ
ಅಗ್ರಪೂಜೆ ,ಮೊದಲ ಗೌರವ
ಅಗ್ರಭವ ,"ಅಗ್ರಜ, ಅಣ್ಣ"
ಅಗ್ರಮಹಿಷಿ ,ಪಟ್ಟದ ರಾಣಿ
ಅಗ್ರಸುತ ,ಹಿರಿಯ ಮಗ
ಅಗ್ರಹಸ್ತ ,ಕೈಯ ತುದಿ
