#jānapada vastukośa, a dictionary of objects used in rural Karnataka. Data as scraped from Bharatavani.in

ಕುಲಾವಿ/ಕುಲಾಯಿ,"ಬಿಸಿಲು, ಶೀತಬಾಧೆಯನ್ನು ತಡೆಯುವುದು ಇದರ ಮುಸಣ್ಣಮಕ್ಕಳಿಗೆ ತಲೆಗೆ ಕಟ್ಟಲು ಉಪಯೋಗವಾಗುವ ಬಟ್ಟೆಯ ಟೋಪಿ. ಚಿಕ್ಕಮಕ್ಕಳಿಗೆ ಇದನ್ನು ಕಟ್ಟುವುದರಿಂದ ಧೂಳು, ಖ್ಯ ಉದ್ದೇಶ. ಇದು ಪುಟ್ಟಮಕ್ಕಳಿಗೆ ಅಲಂಕಾರ ಸಾಧನವೂ ಹೌದು. ತಲೆಯ ಮೇಲ್ಭಾಗ ಮತ್ತು ಹಿಂಭಾಗವು ಆವೃತವಾಗುವಷ್ಟು ಗಾತ್ರದಲ್ಲಿ ಇದನ್ನು ರಚಿಸಿಕೊಂಡು ಕಿವಿಯ ಇಕ್ಕೆಲಗಳಿಂದಲೂ ಕೆಳಗಿಳಿಸಿ ಗಲ್ಲದ ಕೆಳಭಾಗದಲ್ಲಿ ಇದನ್ನು ಎರಡು ಕಸೆಗಳಿಂದ ಕಟ್ಟುತ್ತಾರೆ. ಇದು ವರ್ಣಮಯವಾಗಿರುತ್ತದೆ. ಇದರ ಮೇಲ್ಭಾಗ ಮತ್ತು ಅಂಚುಗಳುದ್ದಕ್ಕೂ ಪುಟ್ಟ ಪುಟ್ಟ ಕುಂಚಿಕೆಗಳನ್ನು ಹೆಣೆಯುತ್ತಾರೆ. ಇದು ಕೇವಲ ಅಲಂಕಾರದ ಉದ್ದೇಶವುಳ್ಳವು. ಮೃದುವಾದ ಹತ್ತಿ ಬಟ್ಟೆ ಅಥವಾ ಮೃದುವಾದ ಉಣ್ಣೆಬಟ್ಟೆಯಿಂದ ತಯಾರಿಸಿಕೊಳ್ಳುತ್ತಾರೆ.
ಹಸುಗೂಸಿಗೆ ತಾಯಿಯ ಕಡೆಯಿಂದ ಮೊದಲು ಕುಲಾವಿಯನ್ನು ಹೊಲಿಸಿಕೊಡಿಸುವ ಸಂಪ್ರದಾಯವಿದೆ. ಬೇರೆ ಬೇರೆ ತೆರನ ವಿನ್ಯಾಸದ ಮತ್ತು ಗುಣಮಟ್ಟದ ಸಿದ್ಧಟೊಪ್ಪಿಗೆಗಳು ಮಾರುಕಟ್ಟೆಗೆ ಬಂದಿರುವುದರಿಂದ ಹಳೆಯ ರೀತಿಯ ಕುಲಾವಿಗಳು ವಿರಳವಾಗುತ್ತಿವೆ. ಕುಲಾವಿಯ ಪ್ರತಿ ನೆಯ್ಗೆಯಲ್ಲೂ ವಾತ್ಸಲ್ಯವು ಅನಾವರಣಗೊಳ್ಳುತ್ತದೆ."
ಕೂರಿಗೆ ತಾಳು,ಕೂರಿಗೆ ತಾಳನ್ನು ಕೂರಿಗೆಯ ದಿಂಡಿನ ಕೆಳಭಾಗದಲ್ಲಿ ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಇದು ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದವಿದೆ. ಕೂರಿಗೆ ತಾಳಿನ ಹಿಂಭಾಗದಲ್ಲಿನ ಒಂದು ಅಡಿ ಕೂರಿಗೆ ದಿಂಡಿಗೆ ಜೋಡಣೆಯಾಗುವಂತೆ ಆಯಾತಾಕಾರದಲ್ಲಿದ್ದು ಅದರ ಮುಂಭಾಗದ ಚೂಪಾದ ರಚನೆಯು ಭೂಮಿಯನ್ನು ಉಳುವುದಕ್ಕೆ ಉಪಯೋಗವಾಗುತ್ತದೆ. ಮರದ ತಾಳು ಸವೆಯಬಾರದೆಂಬ ಕಾರಣಕ್ಕೆ ಸುಮಾರು ಅರ್ದ ಅಡಿ ಉದ್ದದ ಕಬ್ಬಿಣದ ಕುಳವನ್ನು ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಇದು ಕಿತ್ತು ಹೋಗದಂತೆ ಅದಕ್ಕೆ U ಆಕಾರದ ಜಿಗಳೆಯನ್ನು ಹೊಡೆದಿರುತ್ತಾರೆ. ಜಾಲಿ ಮುಂತಾದ ಗಟ್ಟಿಮರವನ್ನು ಕೂರಿಗೆ ತಾಳು ತಯಾರಿಸಲು ಬಳಸುತ್ತಾರೆ.
ಕೂರಿಗೆ ಬಟ್ಲು,"ಕೂರಿಗೆಗೆ ಬಿದಿರಿನ ಕೊಳವೆಯಾಕಾರದ ಬಂಬುಗಳನ್ನು ಜೋಡಿಸಿಕೊಂಡು ಕಾಳುಗಳನ್ನು ಬಿತ್ತನೆ ಮಾಡಲಾಗುತ್ತದೆ. ಇದರಿಂದ ನಿಶ್ಚಿತ ಜಾಗದಲ್ಲಿ, ನಿಶ್ಚಿತ ಪ್ರಮಾಣದಲ್ಲಿ ಕಾಳುಗಳು ಬಿತ್ತನೆಗೆ ಒದಗುತ್ತವ. ಕೂರಿಗೆ ಬಟ್ಟಲಿನ ಮೇಲ್ಭಾಗವು ಒಂದು ಬಾಣಲೆಯ ಆಕಾರದಲ್ಲಿರುತ್ತದೆ. ಅದರ ಕೆಳಭಾಗದಲ್ಲಿ ಮೂರು ಅಥವಾ ನಾಲ್ಕು ರಂಧ್ರಗಳು ಇರುತ್ತವೆ. ಈ ರಂಧ್ರಗಳಿಗೆ ಬಿದಿರಿನ ಕೊಳವೆಯಾಕಾರದ ಬಂಬುಗಳನ್ನು ಜೋಡಿಸುವ ಮೂಲಕ ಕಾಳುಗಳು ಕೂರಿಗೆಯ ಸಾಲುಗಳನ್ನು ಸೇರಿಕೊಳ್ಳುವಂತೆ ಮಾಡಲಾಗುತ್ತದೆ. ಕೂರಿಗೆ ಬಟ್ಟಲಿನ ವ್ಯಾಸವು ಬಿತ್ತುವ ಧಾನ್ಯಗಳ ಗಾತ್ರಾನುಸಾರ ಬದಲಾಗುತ್ತದೆ. ಸಿರಿಧಾನ್ಯಗಳನ್ನು ಬಿತ್ತುವುದಾದರೆ ಬಟ್ಟಲು ಚಿಕ್ಕದಾಗಿರುತ್ತದೆ. ಸಾಮಾನ್ಯವಾಗಿ ಕೂರಿಗೆ ಬಟ್ಟಲು ಸುಮಾರು ನಾಲ್ಕೂವರೆ ಇಂಚು ಎತ್ತರ, ಆರು ಇಂಚು ವ್ಯಾಸವಿರುತ್ತದೆ. ಕೂರಿಗೆ ಬಟ್ಟಲನ್ನು(ಬುಕ್ಕಗಳ ಸಹಿತ) ಗೊಬ್ಬರ ಹಾಕಲು, ಬೆಳ್ಳುಳ್ಳಿಯಂಥ ದೊಡ್ಡ ವಸ್ತುಗಳನ್ನು ಬಿತ್ತಲು, ಜೋಳ, ಹೆಸರು, ಉದ್ದು, ಗೋಧಿ ಮುಂತಾದ ಅತಿ ಕಿರುಕಾಳುಗಳನ್ನು ಬಿತ್ತಲೂ ಬಳಸಿಕೊಳ್ಳಲಾಗುತ್ತದೆ. ಹಿಂದೆಯೇ ಹೇಳಿದಂತೆ ಪ್ರಮಾಣಾನುಸಾರ ಬಟ್ಟಲಿನ ರಂಧ್ರ ಮತ್ತು ಗಾತ್ರಗಳಿರುತ್ತವೆ. ಕೂರಿಗೆ ಬಟ್ಟಲಿನ ಬಗೆಗೆ ರೈತರಲ್ಲಿ ಪೂಜ್ಯ ಭಾವನೆಯಿದೆ. ಅದನ್ನು ಬೋರಲು ಹಾಕುವುದು/ಕವುಚುವುದು, ತುಳಿಯುವುದು. ಒಡೆಯುವುದು, ಉರಿಸುವುದು-ಇತ್ಯಾದಿಗಳಿಗೆ ತೀವ್ರ ನಿಷೇಧವಿದೆ. ಕೂರಿಗೆ ಬಟ್ಟಲಲ್ಲಿ ಈ ಕಾರಣದಿಂದಲೇ ನಂದಿ, ಆಂಜನೇಯ, ಈಶ್ವರ, ಸೂರ್ಯ, ಚಂದ್ರ ಮುಂತಾದ ಚಿತ್ರಗಳನ್ನು ಕೆತ್ತನೆ ಮಾಡಿರುವುದು ಕಂಡುಬರುತ್ತದೆ. ಕೂರಿಗೆ ಬಟ್ಟಲುಗಳನ್ನು ಸಾಗುವಾನಿ, ಶಿವನೆ(ನಿ) ಹತ್ತಿಮರ, ಜಾಲಿ ಮುಂತಾದ ಮರಗಳಿಂದ ರಚಿಸುತ್ತಾರೆ. ಇತ್ತೀಚಿನ ದಿನಗಳಲ್ಲಿ ಟ್ರಾಕ್ಟರ್ ಮೂಲಕ ಕೂಡ ಫೈಬರಿನ ಕೂರಿಗೆ ಬಟ್ಲನ್ನು ಕಟ್ಟಿಕೊಂಡು ಬಿತ್ತನೆ ಮಾಡುತ್ತಾರೆ."
ಕೂರಿಗೆವ್ವ,"ಉತ್ತರ ಕರ್ನಾಟಕದಲ್ಲಿ ವರ್ಷಾರಂಭದ ಬಿತ್ತನೆ ಪ್ರಾರಂಭಿಸುವ ಮೊದಲು ಊರದೇವತೆಗಳ ಪೂಜೆ, ಅಗಸೆ ಪೂಜೆಯನ್ನು ಮಾಡಿದ ಬಳಿಕ ಗ್ರಾಮಸ್ಥರೆಲ್ಲರೂ ಸೇರಿ ಬಿತ್ತನೆ ಕಾರ್‍ಯಕ್ಕೆ ಮುನ್ನುಡಿಯಾಗಿ ಮೊದಲು ಮಾಡುವುದು ಎಂಬ ಆಚರಣೆಯನ್ನು ಮಾಡುತ್ತಾರೆ. ಬಳಿಕ ಆಯಾ ಮನೆಯವರು ತುಂಬಿದ ಕೊಡವೊಂದರ ಮೇಲೆ ಕೂರಿಗೆವ್ವನನ್ನು ಇರಿಸಿ ಅಲಂಕರಿಸಿ ಪೂಜಿಸಿ ತಮಗೆ ಸಮೃದ್ಧ ಮಳೆ-ಬೆಳೆ ನೀಡುವಂತೆ ಪ್ರಾರ್ಥಿಸುತ್ತಾರೆ. ಬಿತ್ತನೆಯ ಕೆಲಸಕ್ಕೆ ಕೂರಿಗೆಯು ಬಹಳ ಮುಖ್ಯ ಸಾಧನವಾಗಿರುವುದರಿಂದ ಈ ದೇವತೆಗೆ ಕೂರಿಗೆವ್ವನೆಂದೇ ಹೆಸರಾಗಿದೆ. ಕೂರಿಗೆವ್ವ ಮೂರ್ತಿಯಲ್ಲಿ ರುಂಡಮಾತ್ರ ಇದೆ. ಅದು ಸ್ತ್ರೀ ಮೂರ್ತಿ ಎನ್ನುವುದು ನಿಚ್ಚಳವಾಗುವಂತೆ ಕೆತ್ತನೆ ಮಾಡಿದ್ದಾರೆ. ಸುಮಾರು ಮನುಷ್ಯ ಮೋರೆಯಷ್ಟು ಗಾತ್ರವಿದೆ. ಕೂರಿಗೆವ್ವನ ಮೋರೆಯು ವರ್ಷದಲ್ಲಿ ಒಂದು ಬಾರಿ ಹೊರಗೆ ಬರುತ್ತದೆ. ಕೂರಿಗೆವ್ವನ ಮೂರ್ತಿಯನ್ನು ಸಾಗುವಾನಿ ಮರದಿಂದ ನಿರ್ಮಿಸಿದ್ದಾರೆ."
ಕೃಷ್ಣಚಕ್ರ,ಪೌರಾಣಿಕ ನಾಟಕದಲ್ಲಿ ಕೃಷ್ಣ/ವಿಷ್ಣು ಪಾತ್ರದಾರಿ ಬಳಸುವ ಒಂದು ಆಯುಧ. ಸುಮಾರು ಹನ್ನೆರಡು ಇಂಚು ಉದ್ದವಿದೆ. ಕೆಳಭಾಗದಲ್ಲಿ ಹಿಡಿಯಲು ಹಿಡಿಕೆಯಿದ್ದು ಮೇಲ್ಭಾಗ ಚಕ್ರಾಕಾರಹೊಂದಿದೆ. ಚಕ್ರವು ಸುಮಾರು ಆರೂವರೆ ಇಂಚು ವ್ಯಾಸವನ್ನು ಹೊಂದಿದೆ.
ಕೆರ್‍ಸಿ/ಗೆರಸೆ,"ಗ್ರಾಮೀಣ ಪ್ರದೇಶಗಳಲ್ಲಿ ಹಬ್ಬಹರಿದಿನ, ಜಾತ್ರೆ, ಉತ್ಸವ ಮುಂತಾದ ವಿಶೇಷ ದಿನಗಳಲ್ಲಿ ಕರಿದ ತಿಂಡಿಗಳನ್ನು ಹಾಕಿಡಲು ಬಳಸುವ ಪರಿಕರ. ಇದು ಸುಮಾರು ಐದು ಇಂಚು ಎತ್ತರವಿದ್ದು ಸುಮಾರು ಹದಿಮೂರು ಇಂಚು ವ್ಯಾಸವಿರುತ್ತದೆ. ಇದನ್ನು ಬೆತ್ತದಿಂದ ಹೆಣೆದು ಗೇರೆಣ್ಣೆಯನ್ನು ಹಚ್ಚಲಾಗಿರುತ್ತದೆ. ವಿಶೇಷ ದಿನಗಳಲ್ಲಿ ಬಜ್ಜಿ, ಬೋಂಡ, ವಡೆ, ಮಿರ್ಚಿ ಮುಂತಾದ ಎಣ್ಣೆಯಲ್ಲಿ ಕರಿದ ತಿಂಡಿಗಳನ್ನು ಹಾಕಿಡಲು ಬಳಸುತ್ತಾರೆ. ಬೆತ್ತದ ಕೆರ್‍ಸಿಗಳಲ್ಲಿ ಹಾಕಿರಿಸಿದ ಕರಿದ ತಿಂಡಿಗಳು ಬಹಳ ಬೇಗ ಕೆಡುವುದಿಲ್ಲ. ಗಾಳಿ ಚೆನ್ನಾಗಿ ಆಡುತ್ತದೆ. ಕೆರ್‍ಸಿಯನ್ನು ಆಯತಾಕಾರದಲ್ಲಿ ಹೆಣೆಯಲಾಗುತ್ತದೆ."
ಕೈಗರಗಸ,ಮರದ ಸಣ್ಣ ಹಲಗೆಗಳನ್ನು ಹಾಗೂ ಸಣ್ಣ ಕಟ್ಟಿಗೆಗಳನ್ನು ತುಂಡು ಮಾಡಿಕೊಳ್ಳಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಎರಡು ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ಇದನ್ನು ಹಿಡಿಯಲು ಹಿಂಭಾಗದಲ್ಲಿ ಹಿಡಿಯನ್ನು ಹೊಂದಿರುತ್ತದೆ. ಹಿಡಿಯಿಂದ ಅಗಲ ಪಟ್ಟಿಯನ್ನು ಹೊಂದಿ ಮುಂದುವರಿದಂತೆಲ್ಲ ಅದರ ಅಗಲವು ಕಡಿಮೆಯಾಗುತ್ತದೆ. ಆಯತಾಕಾರದ ಪಟ್ಟಿಯ ಒಂದು ಪಾರ್ಶ್ವದಲ್ಲಿ ಮುಳ್ಳುಗಳ ಎಡೆಬಿಡದೆ ಇರುವ ಆಕಾರ ಹೊಂದಿರುತ್ತದೆ. ಹೀಗೆ ಮಾಡಿರುವುದರಿಂದ ಕಟ್ಟಿಗೆ ಕೊರೆಯುವಾಗ ಗರಗಸ ಹಿಂದು ಮುಂದೆ ಸರಿದಾಡಲು ಅನುಕೂಲವಾಗುತ್ತದೆ. ಇದರ ಮುಳ್ಳುಗಳು(ಹಲ್ಲುಗಳು) ಅಲ್ಪಸ್ವಲ್ಪ ಬಾಗಿರುತ್ತವ.
ಕೈಪೆಟ್ಟಿಗೆ/ಆಭರಣ ಪೆಟ್ಟಿಗೆ,"ಬೆಲೆಬಾಳುವ ಒಡವೆ ಮತ್ತು ಹಣವನ್ನು ಸಂರಕ್ಷಿಸಲು ಬಳಸುವಂತಹ ಸಾಧನ. ಸುಮಾರು ಏಳು ಇಂಚು ಅಗಲ, ಹತ್ತೂವರೆ ಇಂಚು ಉದ್ದ, ಮೂರೂವರೆ ಇಂಚು ಎತ್ತರವನ್ನು ಹೊಂದಿ ಆಯತಾಕಾರದಿಂದ ಕೂಡಿದೆ. ಬೀಗ ಹಾಕುವ ವ್ಯವಸ್ಥೆ ಹೊಂದಿದೆ. ಇದನ್ನು ಒಂದುಕಡೆಯಿಂದ ಮತ್ತೊಂದು ಕಡೆಗೆ ಕೊಂಡೊಯ್ಯಲು ಮೇಲ್ಭಾಗದಲ್ಲಿ ಹಿಡಿಯೂ ಇದೆ. ಹಣ ಒಡವೆಗಳನ್ನು ಕಳ್ಳ ಕಾಕರಿಂದ ಸಂರಕ್ಷಿಸಲು ಈ ಪೆಟ್ಟಿಗೆ ಬಳಕೆಯಾಗುತ್ತಿತ್ತು. ಇದನ್ನು ಲೋಹದಿಂದ (ಕಬ್ಬಿಣ) ತಯಾರಿಸಿದ್ದಾರೆ. ಈಗ ಈ ತರಹದ ಪಟ್ಟಿಗೆಗಳ ಬಳಕೆ ಕಡಿಮೆ."
ಕೈಹಂಚಿನ ಪಡಿಯಚ್ಚು,"ಮನೆಯ ಮೇಲ್ಛಾವಣಿಗೆ ಬಳಸುವ ಹಂಚುಗಳ ಪಡಿಯಚ್ಚು ತಯಾರಿಸಲು ಇದರಿಂದ ತಯಾರಿಸಲಾದ ಹಂಚುಗಳನ್ನು ಕರಿಹಂಚು/ಕೈಹಂಚುಗಳು ಎನ್ನುತ್ತಾರೆ. ಈ ಅಚ್ಚು ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದವಿದ್ದು ಅದರ ಹಿಂಭಾಗದಲ್ಲಿ ಹಿಡಿಕೆ ಇದೆ. ಅಚ್ಚು ದಪ್ಪವಾಗಿದ್ದು, ತುದಿಗೆ ಹೋದಂತೆ ಕಿರಿದಾಗುತ್ತದೆ. ಹಂಚುಗಳನ್ನು ತಯಾರಿಸುವಾಗ ಕೈಯಚ್ಚಿನ ಮೇಲೆ ಅರ್ಧಗೋಲಾಕಾರದಲ್ಲಿ ಮಣ್ಣನ್ನು ಮೆತ್ತಲಾಗುತ್ತದೆ. ಅಲ್ಲದೆ ಮನೆಯ ನೆಲವನ್ನು ಭದ್ರಗೊಳಿಸಲು, ನೆಲಸಮತಟ್ಟು ಮಾಡಲು ಸಹ ಕೈಯಚ್ಚು ಬಳಕೆಯಾಗುತ್ತದೆ. ಇದನ್ನು ಜಾಲಿಮರದಿಂದ ತಯಾರಿಸಲಾಗುತ್ತದೆ. ಹಂಚಿನ ಕಾರ್ಖಾನೆಗಳು ಬಂದ ಬಳಿಕ ಇದರ ಬಳಕೆ ಇಲ್ಲವಾಗಿದೆ."
ಕೊಡತಿ,"ಬಡಿಗಿ ವೃತ್ತಿಯವರು ಮರಕ್ಕೆ ರಂಧ್ರ ತೋಡುವಾಗ/ಹಾಕುವಾಗ ಉಳಿಯನ್ನು ಬಳಸುತ್ತಾರೆ. ಆ ಉಳಿಯನಿಟ್ಟು ಹೊಡೆಯುವುದಕ್ಕೆ ಬಳಸುವ ಪರಿಕರವೇ ಕೊಡತಿ. ಅಂದರೆ ಮೊಳೆ, ಉಳಿ ಮುಂತಾದವನ್ನು ಮೇಲಿನಿಂದ ಬಡಿಯಲು/ಕುಟ್ಟಲು ಬಳಸುವ ಸಾಧನ. ಉಳಿಗೆ ಪೆಟ್ಟು ಹೊಡೆಯಲು ಇದನ್ನು ಬಳಸುತ್ತಾರೆ. ಇದು ಸುಮಾರು ಒಂದು ಅಡಿ ಉದ್ದವಿದ್ದು ಹಿಡಿಯನ್ನು ಹೊಂದಿದೆ. ಹಿಡಿಯನ್ನು ಹೊರತು ಪಡಿಸಿ ಅದರ ಮುಂಭಾಗ ದಪ್ಪವಾಗಿದ್ದು ಭಾರವಾಗಿದೆ. ಒಕ್ಕುಲು ಸಂದರ್ಭದಲ್ಲಿ ಅಲಸಂಡೆ, ಹೆಸರು, ತೊಗರಿ ಬುಡ್ಡಿ ಬಡಿಯಲು ಸಹ ಅಪೂರ್ವವಾಗಿ ಬಳಕೆಯಾಗುತ್ತದೆ. ಇದರ ಗಾತ್ರದಲ್ಲಿ ಹಲವಾರು ವ್ಯತ್ಯಾಸಗಳಿವೆ. ಜಾಲಿ, ಹುಣಸೆ ಮರದಿಂದ ಇದನ್ನು ತಯಾರಿಸಿಕೊಳ್ಳುತ್ತಾರೆ."
ಕೊಡಲಿ,"ಕೊಡಲಿಯನ್ನು ರೈತರು ಮರ ಕಡಿಯಲು, ಕಟ್ಟಿಗೆ/ಸೌದೆ ಒಡೆಯಲು ಬಳಸುತ್ತಾರೆ. ಕೊಡಲಿಯು ಕಬ್ಬಿಣ ಹಾಗೂ ಮರದಿಂದ ತಯಾರಿಸಿದ ಆಯುಧ. ಕೊಡಲಿಯ ಅಲಗಿನ ತುದಿಯು ಹರಿತವಾಗಿದ್ದು ಅದರ ಬುಡದಲ್ಲಿ ಹಿಡಿಕೆಯನ್ನು ಜೋಡಿಸಿಕೊಳ್ಳಲು ಅನುಕೂಲವಾಗುವಂತೆ ರಚನೆಯಿರುತ್ತದೆ. ಎರಡು ಇಂಚು ಕೊಳವೆಗೆ ಎರಡೂವರೆ ಅಡಿ ಉದ್ದದ ಹಿಡಿಕೆ ಹಾಕಲಾಗಿರುತ್ತದೆ. ಕೊಡಲಿಗಳ ಗಾತ್ರ ಮತ್ತು ವಿನ್ಯಾಸಗಳಲ್ಲಿ ಸಾಕಷ್ಟು ವ್ಯತ್ಯಾಸವಿರುತ್ತದೆ."
ಕೊಣಮಿಗೆ,"ರೊಟ್ಟಿ ಮಾಡುವುದಕ್ಕೆ, ಹಿಟ್ಟು ಕಲಸಿಕೊಳ್ಳಲು ಮತ್ತು ಆ ಬಳಿಕ ರೊಟ್ಟಿ ಬಡಿಯಲು/ತಟ್ಟಲು ಬಳಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಇದರ ಆಕಾರ ಮತ್ತು ಗಾತ್ರಗಳಲ್ಲಿ ವ್ಯತ್ಯಾಸ ಇರುತ್ತದೆ. ವೃತ್ತಾಕಾರದ ಕೊಣಮಿಗೆಯು ರೊಟ್ಟಿ ತಯಾರಿಸಿಕೊಳ್ಳಲು ಬಳಕೆಯಾದರೆ ಆಯತಾಕಾರದವುಗಳಲ್ಲಿ ಅನ್ನ ಮೊಸರು ಕಲಸಿಕೊಳ್ಳಲು ಬಳಕೆಯಾಗುತ್ತದೆ. ಇವನ್ನು ಕಗ್ಗಲ್ಲು, ಮರ ಮತ್ತು ಲೋಹಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಸಾಗುವಾನಿ, ಮಾವು, ಅತ್ತಿ ಮುಂತಾದ ಮರಗಳು ತಯಾರಿಕೆಗೆ ಬಳಕೆಯಾಗುತ್ತವ. ರೊಟ್ಟಿ ಮಾಡುವ ಯಂತ್ರವು ಬಂದ ಮೇಲೆ ಕೊಣಮಿಗೆ ಬಳಕೆ ಕಡಿಮೆಯಾಗುತ್ತಾ ಬಂದಿದೆ."
ಕೋಡಣಸು/ಕೊಡಂಚು,"ಎತ್ತಿನ ಕೋಡುಗಳ ತುದಿಗೆ ಅಲಂಕಾರಕ್ಕಾಗಿ ಬಳಸುವ ಪುಟ್ಟ ಸಾಧನ. ಇವು ಕೊಳವೆಯ ಆಕಾರದಲ್ಲಿದ್ದು ಅದರ ತುದಿಯು ದುಂಡಾಕಾರ/ಪುಟ್ಟ ಕಳಸಾಕಾರದಲ್ಲಿರುತ್ತದೆ. ಕೋಡಣಸುಗಳ ಬುಡದಲ್ಲಿ ಎರಡು ಪುಟ್ಟ ರಂಧ್ರಗಳಿದ್ದು ಅವುಗಳ ಮೂಲಕ ಮೊಳೆ/ತಂತಿಗಳನ್ನು ಕೋಡಿನ ತುದಿಯಲ್ಲಿ ಕೊರೆದ ಪುಟ್ಟರಂಧ್ರದೊಳಗೂ ಬರುವಂತೆ ಹಾಯಿಸಿ ತಂತಿಯ ತುದಿಗಳನ್ನು ಒಳಕ್ಕೆ ಬಾಗಿಸಲಾಗುತ್ತದೆ. ಕೋಡಣಸುಗಳು ಸುಮಾರು ಎರಡರಿಂದ ಐದು ಇಂಚುಗಳಷ್ಟು ಉದ್ದವಿರುತ್ತವೆ. ಇವುಗಳ ಸುತ್ತಲೂ ಅಲಂಕಾರಕ್ಕಾಗಿ ಕಿರು ಪ್ರಮಾಣದ ಕುಸುರಿ ಕೆಲಸ ಮಾಡಿರುವುದೂ ಕಂಡುಬರುತ್ತದೆ.
ಕೋಡಣಸುಗಳನ್ನು ಎತ್ತುಗಳಿಗೆ ಸಾಮಾನ್ಯವಾಗಿ ನಿತ್ಯವೂ ತೊಡಿಸುತ್ತಾರೆ. ಕೆಲವೆಡೆ ಕಾರಹುಣ್ಣಿಮೆಯ ಹಬ್ಬದಂದು ಕರಿಹೋರಿಗೆ ಚಿನ್ನ ಬೆಳ್ಳಿಯ ಕೋಡಣಸುಗಳನ್ನು ತೊಡಿಸಿ ಬಂಗಾರದ ಗೆಜ್ಜೆಗಳಿಂದ ಅಲಂಕರಿಸುವ ಸಂಭ್ರಮೋಪೇತ ಆಚರಣೆ ನಡೆಯುತ್ತಿತ್ತು. ಹಬ್ಬ, ಮೆರವಣಿಗೆಗಳಂಥ ಸಂದರ್ಭಗಳಲ್ಲಿ ಎತ್ತುಗಳ ಕೊಂಬುಗಳ ತುದಿಗೆ ಕೋಡಣಸನ್ನು ಹಾಕಿ ಅವುಗಳ ತುದಿಗೆ ಉಣ್ಣೆಯ ಗೊಂಡೆಗಳನ್ನು ಕಟ್ಟಿ ಇನ್ನಷ್ಟು ಅಂದವಾಗಿ ಅಲಂಕಾರ ಮಾಡುತ್ತಾರೆ. ಕೋಡಣಸುಗಳನ್ನು ಅಲಂಕಾರಕ್ಕಾಗಿ ಮಾತ್ರ ಬಳಸದೆ ಎತ್ತುಗಳು ಪರಸ್ಪರ ಇರಿಯುವಾಗ, ಮನುಷ್ಯರಿಗೆ ಹಾಯುವಾಗ, ಹೆಚ್ಚಿನ ಅಪಾಯವನ್ನು ತಪ್ಪಿಸುವುದಕ್ಕಾಗಿಯೂ ಬಳಸಲಾಗುತ್ತದೆ. ಕೋಡಣಸುಗಳನ್ನು ಅಲ್ಯೂಮಿನಿಯಂ, ಕಂಚು/ಹಿತ್ತಾಳೆ, ಬೆಳ್ಳಿ, ಬಂಗಾರಗಳಿಂದ ಕೂಡ ತಯಾರಿಸುತ್ತಾರೆ. ಅಮೂಲ್ಯ ಲೋಹಗಳ ಕೋಡನಸುಗಳನ್ನು ಅಪೂರ್ವ ಸಂದರ್ಭಗಳಲ್ಲಷ್ಟೇ ಬಳಸುತ್ತಾರೆ."
ಕೋಲಾಟದ ಕೋಲುಗಳು,"ಕೋಲಾಟದಲ್ಲಿ ಬಳಸುವ ವಸ್ತುಗಳು. ಇವು ಸುಮಾರು ಹದಿನಾಲ್ಕು ಇಂಚು ಉದ್ದ, ಮೂರು ಇಂಚು ಸುತ್ತಳತೆ ಹೊಂದಿವ. ಜನಪದ ಕಲೆಯಾದ ಕೋಲಾಟದಲ್ಲಿ ಒಬ್ಬರು ಮತ್ತೊಬ್ಬರೊಂದಿಗೆ ಕೋಲು ಹಾಕಲು ಬಳಸುವ ಈ ಕೋಲುಗಳ ನಾದವು ಜೋರಾಗಿಯೂ ಹಿತಕರವಾಗಿಯೂ ಇರುತ್ತದೆ. ಇವುಗಳನ್ನು ಅತ್ತಿಮರದಿಂದ ಕಲಾವಿದರೇ ತಯಾರಿಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಕೋಲು ಕತ್ತರಿಸುವಾಗ ಹಾಗೂ ಆಟ ಮುಗಿದಾಗ ವಿಶಿಷ್ಠ ಬಗೆಯ ವಿಧಿ-ನಿಷೇಧ, ಪದ್ಧತಿ ಆಚರಣೆಗಳ ಚೌಕಟ್ಟಿನಲ್ಲಿ ನಡೆಯುವುದು ಗಮನಾರ್ಹ."
